id,title,price,currency,scraped_at
1,A Light in the Attic,51.77,GBP,2025-12-30 16:31:37
2,Tipping the Velvet,53.74,GBP,2025-12-30 16:31:37
3,Soumission,50.1,GBP,2025-12-30 16:31:37
4,Sharp Objects,47.82,GBP,2025-12-30 16:31:37
5,Sapiens: A Brief History of Humankind,54.23,GBP,2025-12-30 16:31:37
6,The Requiem Red,22.65,GBP,2025-12-30 16:31:37
7,The Dirty Little Secrets of Getting Your Dream Job,33.34,GBP,2025-12-30 16:31:37
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,GBP,2025-12-30 16:31:37
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,GBP,2025-12-30 16:31:37
10,The Black Maria,52.15,GBP,2025-12-30 16:31:37
11,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,GBP,2025-12-30 16:31:37
12,Shakespeare's Sonnets,20.66,GBP,2025-12-30 16:31:37
13,Set Me Free,17.46,GBP,2025-12-30 16:31:37
14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,GBP,2025-12-30 16:31:37
15,Rip it Up and Start Again,35.02,GBP,2025-12-30 16:31:37
16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,GBP,2025-12-30 16:31:37
17,Olio,23.88,GBP,2025-12-30 16:31:37
18,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,GBP,2025-12-30 16:31:37
19,Libertarianism for Beginners,51.33,GBP,2025-12-30 16:31:37
20,It's Only the Himalayas,45.17,GBP,2025-12-30 16:31:37
21,In Her Wake,12.84,GBP,2025-12-30 16:31:37
22,How Music Works,37.32,GBP,2025-12-30 16:31:37
23,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,GBP,2025-12-30 16:31:37
24,Chase Me (Paris Nights #2),25.27,GBP,2025-12-30 16:31:37
25,Black Dust,34.53,GBP,2025-12-30 16:31:37
26,Birdsong: A Story in Pictures,54.64,GBP,2025-12-30 16:31:37
27,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,GBP,2025-12-30 16:31:37
28,Aladdin and His Wonderful Lamp,53.13,GBP,2025-12-30 16:31:37
29,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,GBP,2025-12-30 16:31:37
30,Wall and Piece,44.18,GBP,2025-12-30 16:31:37
31,The Four Agreements: A Practical Guide to Personal Freedom,17.66,GBP,2025-12-30 16:31:37
32,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,GBP,2025-12-30 16:31:37
33,The Elephant Tree,23.82,GBP,2025-12-30 16:31:37
34,The Bear and the Piano,36.89,GBP,2025-12-30 16:31:37
35,Sophie's World,15.94,GBP,2025-12-30 16:31:37
36,Penny Maybe,33.29,GBP,2025-12-30 16:31:37
37,Maude (1883-1993):She Grew Up with the country,18.02,GBP,2025-12-30 16:31:37
38,"In a Dark, Dark Wood",19.63,GBP,2025-12-30 16:31:37
39,Behind Closed Doors,52.22,GBP,2025-12-30 16:31:37
40,You can't bury them all: Poems,33.63,GBP,2025-12-30 16:31:37
41,Slow States of Collapse: Poems,57.31,GBP,2025-12-30 16:31:37
42,Reasons to Stay Alive,26.41,GBP,2025-12-30 16:31:37
43,Private Paris (Private #10),47.61,GBP,2025-12-30 16:31:37
44,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,GBP,2025-12-30 16:31:37
45,Without Borders (Wanderlove #1),45.07,GBP,2025-12-30 16:31:37
46,When We Collided,31.77,GBP,2025-12-30 16:31:37
47,"We Love You, Charlie Freeman",50.27,GBP,2025-12-30 16:31:37
48,Untitled Collection: Sabbath Poems 2014,14.27,GBP,2025-12-30 16:31:37
49,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,GBP,2025-12-30 16:31:37
50,Unicorn Tracks,18.78,GBP,2025-12-30 16:31:37
51,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,GBP,2025-12-30 16:31:37
52,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,GBP,2025-12-30 16:31:37
53,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,GBP,2025-12-30 16:31:37
54,This One Summer,19.49,GBP,2025-12-30 16:31:37
55,Thirst,17.27,GBP,2025-12-30 16:31:37
56,The Torch Is Passed: A Harding Family Story,19.09,GBP,2025-12-30 16:31:37
57,The Secret of Dreadwillow Carse,56.13,GBP,2025-12-30 16:31:37
